Gene	Chondrus_crispus	Gracilaria-caudata	Gracilaria-chilensis	Gracilaria-gracilis	Gracilaria-vermiculophylla
Gracilaria-gracilis$Ggra1617.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1614.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1614.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1606.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1606.t1	0	1	0	1	0
Gracilaria-gracilis$Ggra1606.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1615.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1608.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1609.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1609.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1605.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1605.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1605.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1619.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1619.t2	0	0	0	1	0
Gracilaria-gracilis$Ggra9562.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9568.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9600.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9602.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9585.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9585.t1	0	1	0	1	0
Gracilaria-gracilis$Ggra9585.t1	0	0	1	1	0
Gracilaria-gracilis$Ggra9585.t1	0	0	0	1	1
Gracilaria-gracilis$Ggra9639.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9579.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9574.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9541.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9541.t1	0	1	0	1	0
Gracilaria-gracilis$Ggra9541.t1	0	0	1	1	0
Gracilaria-gracilis$Ggra9541.t1	0	0	0	1	1
Gracilaria-gracilis$Ggra9557.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9644.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9644.t2	0	0	0	1	0
Gracilaria-gracilis$Ggra9595.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9569.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9599.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9599.t1	0	1	0	1	0
Gracilaria-gracilis$Ggra9618.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9560.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9604.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9640.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9543.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9642.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9622.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9605.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9591.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9586.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9584.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9633.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9580.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9567.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9559.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9559.t1	0	0	1	1	0
Gracilaria-gracilis$Ggra9559.t1	0	0	0	1	1
Gracilaria-gracilis$Ggra9635.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9598.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9597.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9630.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9606.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9544.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9544.t1	0	1	0	1	0
Gracilaria-gracilis$Ggra9610.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9552.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9626.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9592.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9556.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9556.t1	0	1	0	1	0
Gracilaria-gracilis$Ggra9556.t1	0	0	1	1	0
Gracilaria-gracilis$Ggra9613.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9613.t1	0	1	0	1	0
Gracilaria-gracilis$Ggra9613.t1	0	0	0	1	1
Gracilaria-gracilis$Ggra9570.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9570.t1	1	0	0	1	0
Gracilaria-gracilis$Ggra9570.t1	0	1	0	1	0
Gracilaria-gracilis$Ggra9570.t1	0	0	1	1	0
Gracilaria-gracilis$Ggra9570.t1	0	0	0	1	1
Gracilaria-gracilis$Ggra9632.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9632.t1	0	1	0	1	0
Gracilaria-gracilis$Ggra9625.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9607.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9607.t1	0	1	0	1	0
Gracilaria-gracilis$Ggra9553.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9561.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9603.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9572.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9572.t1	0	1	0	1	0
Gracilaria-gracilis$Ggra9572.t1	0	0	1	1	0
Gracilaria-gracilis$Ggra9572.t1	0	0	0	1	1
Gracilaria-gracilis$Ggra9582.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9542.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9542.t1	0	1	0	1	0
Gracilaria-gracilis$Ggra9542.t1	0	0	1	1	0
Gracilaria-gracilis$Ggra9542.t1	0	0	0	1	1
Gracilaria-gracilis$Ggra9546.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9596.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9551.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9566.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9590.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9565.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9576.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9609.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9540.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9575.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9620.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9620.t1	0	1	0	1	0
Gracilaria-gracilis$Ggra9643.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9550.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9612.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9628.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9587.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9577.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9616.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9619.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9619.t1	0	1	0	1	0
Gracilaria-gracilis$Ggra9624.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9627.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9539.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9539.t1	0	1	0	1	0
Gracilaria-gracilis$Ggra9615.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra548.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra554.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra554.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra545.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra547.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra561.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra553.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra553.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra552.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra552.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra550.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra550.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra549.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra549.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra546.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra546.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra543.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra542.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra558.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra558.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra10.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra10.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra4915.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra4926.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra4916.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra4913.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra4941.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra4920.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra4920.t1	0	1	0	1	0
Gracilaria-gracilis$Ggra4923.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra4927.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra4927.t1	0	1	0	1	0
Gracilaria-gracilis$Ggra4919.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra4938.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra4918.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra4929.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra4930.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra4930.t1	0	1	0	1	0
Gracilaria-gracilis$Ggra4930.t1	0	0	1	1	0
Gracilaria-gracilis$Ggra4943.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra4911.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra4931.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra4921.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra4924.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra4936.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra4937.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra4932.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra4939.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra4942.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra4925.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra4928.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra4914.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra4912.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra4940.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra4917.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra4922.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra4922.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra182.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra183.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra180.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra176.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra176.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra176.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra177.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra187.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra178.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra184.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra185.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra174.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra179.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra179.t1	0	1	0	1	0
Gracilaria-gracilis$Ggra186.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra181.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9820.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9827.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9831.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9831.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9829.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9819.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9830.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9834.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9822.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9826.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9815.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9817.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9832.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9828.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9824.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9823.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9825.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9821.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9835.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra9835.t1	0	1	0	1	0
Gracilaria-gracilis$Ggra9816.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra10806.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra753.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra752.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra743.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra762.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra761.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra745.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra749.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra754.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra758.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra755.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra755.t1	0	1	0	1	0
Gracilaria-gracilis$Ggra748.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra744.t2	0	0	0	1	0
Gracilaria-gracilis$Ggra744.t2	0	0	0	1	0
